Loudspeaker	GPRS	WLAN	Dimensions	Price group	2G Network	Battery life	Multitouch	Camera	Audio quality	Stand-by	GPU	Java	Type	CPU	SIM	USB	Status	Company	Chipset	Protection	Announced	Video	Sensors	GPS	Secondary	Card slot	EDGE	Talk time	4G Network	jack	Messaging	Display	Browser	Alert types	Weight	Speed	Image	Primary	3G Network	Bluetooth	Colors	Internal	Radio	Music play	OS	Brand	Size	segment
No	Class 4 (3+1 slots), 24 - 36 kbps	No	97 x 43 x 21 mm, 75 cc (3.82 x 1.69 x 0.83 in)	No	GSM 900 / 1800 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1Q 2002	No	No	No	No	No	No	No	No	No	SMS	No	WAP 1.2.1	Vibration; Downloadable monophonic ringtones	88 g (3.10 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no6500.gif	No	No	No	Beige, four Xpress-on front-back covers as accessories	No	FM radio	No	No	6500	96 x 60 pixels, 5 lines
No	No	No	102 x 46 x 21 mm, 85 cc (4.02 x 1.81 x 0.83 in)	No	GSM 900 / 1800 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1Q 2002	No	No	No	No	No	No	No	No	No	SMS	No	WAP	Vibration; Downloadable monophonic ringtones	98 g (3.46 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no8855.gif	No	No	No	Black	No	No	No	No	8855	5 lines
No	No	No	105.5 x 47.5 x 22.5 mm, 83 cc (4.15 x 1.87 x 0.89 in)	No	GSM 900 / 1800 	No	No	No	No	170	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1Q 2002	No	Thermometer	No	No	No	No	3	No	No	SMS	No	WAP 1.1	Vibration; Downloadable monophonic ringtones	92 g (3.25 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no5210.gif	No	No	No	Burned Orange, four Xpress-on shells as accessories	No	No	No	No	5210	5 lines
No	No	No	134 x 58 x 28 mm, 165 cc (5.28 x 2.28 x 1.10 in)	No	GSM 900 / 1800 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	4Q 2001	No	No	No	No	No	No	No	No	No	SMS	No	WAP	Vibration; Downloadable monophonic ringtones	155 g (5.47 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no5510.gif	No	No	No	2 - Groove Red and Melody Blue	64 MB	Stereo FM radio	No	No	5510	5 lines
No	Class 4 (3+1 slots), 24 - 36 kbps	No	97 x 43 x 19 mm, 66 cc (3.82 x 1.69 x 0.75 in)	No	GSM 900 / 1800 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	2001	No	No	No	No	No	No	No	No	No	SMS	No	WAP	Vibration; Downloadable monophonic ringtones	84 g (2.96 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no8310.gif	No	No	No	9 Xpress-on covers	No	FM radio	No	No	8310	5 lines
No	Class 4 (3+1 slots), 24 - 36 kbps	No	129 x 47 x 19 mm, 97 cc (5.08 x 1.85 x 0.75 in)	No	GSM 900 / 1800 	No	No	No	No	430	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	2001	No	No	No	No	No	No	5	No	No	SMS	No	WAP 1.2.1	Vibration; Downloadable monophonic ringtones	111 g (3.92 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no6310.gif	No	No	Yes, v1.1	3 - Jet Black, Lightening Silver and Laser Red	No	No	No	No	6310	96 x 65 pixels, 6 lines
No	No	No	113 x 49 x 23 mm, 98 cc (4.45 x 1.93 x 0.91 in)	No	GSM 900 / 1800 	No	No	No	No	260	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	2001	No	No	No	No	No	No	4	No	No	SMS	No	WAP 1.1	Vibration; Downloadable monophonic ringtones, composer	108 g (3.81 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no3350.gif	No	No	No	User exchangeable front and back covers	No	No	No	No	3350	96 x 65 pixels, 5 lines
No	No	No	113 x 48 x 22 mm, 97 cc (4.45 x 1.89 x 0.87 in)	No	GSM 900 / 1800 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	2001	No	No	No	No	No	No	No	No	No	SMS	No	WAP	Vibration; Downloadable monophonic ringtones	133 g (2.86 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no3330.gif	No	No	No	User exchangeable front and back covers	No	No	No	No	3330	5 lines
No	No	No	102.5 x 45 x 19 mm, 69 cc (4.04 x 1.77 x 0.75 in)	No	GSM 900 / 1800 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	2000	No	No	No	No	No	No	No	No	No	SMS, EMS	No	&nbsp;	Vibration; Downloadable monophonic ringtones, composer	81 g (2.86 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no8250.gif	No	No	No	Xpress-on covers	No	No	No	No	8250	84 x 48 pixels, 5 lines
No	No	No	158 x 56 x 27 mm (6.22 x 2.20 x 1.06 in)	No	GSM 900 / 1800 	No	No	No	No	230	No	Yes	TFT, 4096 colors	52 MHz ARM 9	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	2000	No	No	No	No	MMC, 16 MB included	No	4	No	No	SMS, Email, Fax	No	WAP, HTML	Downloadable monophonic, WAV ringtones	244 g (8.61 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no9210.gif	No	No	No	Black	No	No	No	Open Symbian, based on Symbian v6.0, Series 80 UI	9210 Communicator	640 x 200 pixels, 4.5 inches, 110 x 35 mm (~149 ppi pixel density)
No	No	No	113 x 48 x 22 mm, 97 cc (4.45 x 1.89 x 0.87 in)	No	GSM 900 / 1800 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	2000	No	No	No	No	No	No	No	No	No	SMS	No	&nbsp;	Vibration; Downloadable monophonic ringtones	133 g (4.69 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no3310b.gif	No	No	No	User exchangeable front and back covers	No	No	No	No	3310	5 lines
No	No	No	100 x 44 x 18 mm, 70 cc (3.94 x 1.73 x 0.71 in)	No	GSM 900 / 1900 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	2000	No	No	No	No	No	No	No	No	No	SMS	No	&nbsp;	Downloadable monophonic ringtones	91 g (3.21 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no8890t.gif	No	No	No	Metallic	No	No	No	No	8890	5 lines
No	No	No	101.5 x 44.5 x 17.4 mm, 66 cc (4.00 x 1.75 x 0.69 in)	No	GSM 900 / 1800 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1999	No	No	No	No	No	No	No	No	No	SMS	No	&nbsp;	Vibration; Downloadable monophonic ringtones	79 g (2.79 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no8210t.gif	No	No	No	6 Xpress-on covers	No	No	No	No	8210	5 lines
No	No	No	100 x 44 x 17 mm, 70 cc (3.94 x 1.73 x 0.67 in)	No	GSM 900 / 1800 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1999	No	No	No	No	No	No	No	No	No	SMS	No	&nbsp;	Vibration; Downloadable monophonic ringtones	91 g (3.21 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no8850t.gif	No	No	No	Metallic	No	No	No	No	8850	5 lines
No	No	No	142 x 50-58 x 23-27 mm, 159 cc	No	GSM 900 / 1800 	No	No	No	No	336	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	2000	No	Sound level meter	No	No	No	No	5	No	No	SMS	No	WAP 1.1	Vibration; Downloadable monophonic ringtones	167 g (5.89 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no6250b.gif	No	No	No	Black Night, Grey Dusk and Red Sunset	No	No	No	No	6250	96 x 60 pixels, 6 lines
No	No	No	107 x 46 x 18 mm, 74 cc (4.21 x 1.81 x 0.71 in)	No	GSM 900 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1998	No	No	No	No	No	No	No	No	No	SMS	No	&nbsp;	Vibration; Downloadable monophonic ringtones	118 g (4.16 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no8810t.gif	No	No	No	Metallic	No	No	No	No	8810	5 lines
No	No	No	129.5 x 47.3 x 18.8 mm, 95 cc (5.10 x 1.86 x 0.74 in)	No	GSM 900 / 1800 	No	No	No	No	310	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	2000	No	No	No	No	No	No	5	No	No	SMS	No	WAP 1.1	Vibration; Downloadable monophonic ringtones	114 g (4.02 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no6210b.gif	No	No	No	Black Night, Grey Dusk and Red Sunset	No	No	No	No	6210	96 x 60 pixels, 6 lines
No	No	No	125 x 53 x 24 mm, 125 cc (4.92 x 2.09 x 0.94 in)	No	GSM 900 / 1800 	No	No	No	No	260	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No		No	No	No	No	No	No	4	No	No	SMS	No	WAP	Vibration; Downloadable monophonic ringtones	141 g (4.97 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no7110b.gif	No	No	No	Dark green	No	No	No	No	7110	96 x 65 pixels, 6 lines
No	No	No	158 x 56 x 27 mm, 218 cc (6.22 x 2.20 x 1.06 in)	No	GSM 900 	No	No	No	No	No	No	No	Grayscale LCD	AMD 486	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1999	No	No	No	No	MMC	No	No	No	No	SMS, Email, Fax	No	WAP, HTML	Downloadable monophonic ringtones, composer	253 g (8.92 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no9110ib.gif	No	No	No	Black	8 MB	No	No	No	9110i Communicator	640 x 200 pixels, 4.5 inches, 110 x 35 mm (~149 ppi pixel density)
No	No	No	173 x 64 x 38 mm (6.81 x 2.52 x 1.50 in)	No	GSM 900 	No	No	No	No	No	No	No	Grayscale LCD	Intel 386	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1998	No	No	No	No	No	No	No	No	No	SMS, Email, Fax	No	HTML	Monophonic ringtones	397 g (14.00 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no9000b.gif	No	No	No	Black	8 MB	No	No	No	9000 Communicator	640 x 200 pixels
No	No	No	123.8 x 50.5 x 16.7-22.5 mm	No	GSM 900 / 1800 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1999	No	No	No	No	No	No	No	No	No	SMS	No	&nbsp;	Downloadable monophonic ringtones, composer	151 g (5.33 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no3210b.gif	No	No	No	User exchangeable front and back covers	No	No	No	No	3210	5 lines
No	No	No	129 x 47 x 28 mm, 130 cc (5.08 x 1.85 x 1.10 in)	No	GSM 900 / 1800 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1998	No	No	No	No	No	No	No	No	No	SMS	No	&nbsp;	Downloadable monophonic ringtones	141 g (4.97 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no6150b.gif	No	No	No	2	No	No	No	No	6150	5 lines
No	No	No	141 x 48 x 25 mm (5.55 x 1.89 x 0.98 in)	No	GSM 1800 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1998	No	No	No	No	No	No	No	No	No	SMS	No	&nbsp;	Downloadable monophonic ringtones	152 g (5.36 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no6130b.gif	No	No	No	2	No	No	No	No	6130	5 lines
No	No	No	130 x 47 x 28 mm, 130 cc (5.12 x 1.85 x 1.10 in)	No	GSM 900 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1998	No	No	No	No	No	No	No	No	No	SMS	No	&nbsp;	Downloadable monophonic ringtones	137 g (4.83 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no6110b.gif	No	No	No	2	No	No	No	No	6110	5 lines
No	No	No	132 x 47.5 x 31 mm, 143 cc (5.20 x 1.87 x 1.22 in)	No	GSM 900 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1998	No	No	No	No	No	No	No	No	No	SMS	No	&nbsp;	Downloadable monophonic ringtones	170 g (6.00 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no5110b.gif	No	No	No	Xpress-On covers, 4 basic, 7 metallic	No	No	No	No	5110	5 lines
No	No	No	136 x 45 x 21 mm, 139 cc (5.35 x 1.77 x 0.83 in)	No	GSM 900 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1997	No	No	No	No	No	No	No	No	No	SMS	No	&nbsp;	Monophonic ringtones	146 g with slim battery (5.15 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no3110b.gif	No	No	No	Black	No	No	No	No	3110	4 x 13 characters
No	No	No	141 x 48 x 25 mm (5.55 x 1.89 x 0.98 in)	No	GSM 900 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1998	No	No	No	No	No	No	No	No	No	SMS	No	&nbsp;	Monophonic ringtones	152 g (5.36 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no8110b.gif	No	No	No	black	No	No	No	No	8110	4 x 13 characters
No	No	No	148 x 56 x 25 mm (5.83 x 2.20 x 0.98 in)	No	GSM 900 	No	No	No	No	No	No	No	Monochrome graphic	No	Mini-SIM	&nbsp;	Discontinued	Nokia	No	No	1995	No	No	No	No	No	No	No	No	No	SMS	No	&nbsp;	Monophonic ringtones	236g (8.32 oz)	No	http://cdn2.gsmarena.com/vv/thumb/no2110b.gif	No	No	No	Black	No	No	No	No	2110	4 x 13 characters
Yes	No	Wi-Fi 802.11 a/b/g/n, dual-band	200 x 134.7 x 7.2 mm (7.87 x 5.30 x 0.28 in)	250	 N/A	No	Yes	Photo	No	No	PowerVR SGX543MP2	No	LED-backlit IPS LCD capacitive touchscreen, 16M colors	Dual-core 1 GHz Cortex-A9	No	Yes, v2.0	Available. Released 2012, November	Apple	Apple A5	Oleophobic coating	2012, October	Yes	Accelerometer, gyro, compass	No	Yes, 1.2 MP, 720p@30fps, face detection, FaceTime over Wi-Fi	No	No	10	No	Yes	iMessage, Email, Push Email, IM	No	HTML (Safari)	N/A	308 g (10.86 oz)	No	http://cdn2.gsmarena.com/vv/thumb/apple-ipad-mini-final.jpg	5 MP	No	Yes, v4.0 with A2DP, EDR	Black/Slate, White/Silver	16/32/64 GB storage, 512 MB RAM	No	No	iOS 6, upgradable to iOS 6.1.3	iPad mini Wi-Fi	768 x 1024 pixels, 7.9 inches (~162 ppi pixel density)	mid_range
Voice 68dB / Noise 65dB / Ring 75dB	Yes	Wi-Fi 802.11 a/b/g/n, dual-band	200 x 134.7 x 7.2 mm (7.87 x 5.30 x 0.28 in)	350	GSM 850 / 900 / 1800 / 1900  - A1454; A1455	No	Yes	No	Noise -82.8dB / Crosstalk -80.8dB	No	PowerVR SGX543MP2	No	LED-backlit IPS LCD capacitive touchscreen, 16M colors	Dual-core 1 GHz Cortex-A9	Nano-SIM	Yes, v2.0	Available. Released 2012, November	Apple	Apple A5	Oleophobic coating	2012, October	Yes, 1080p@30fps, video stabilization	Accelerometer, gyro, compass	Yes, with A-GPS support and GLONASS	Yes, 1.2 MP, 720p@30fps, face detection, FaceTime over Wi-Fi or Cellular	No	Yes	10	LTE 700 MHz Class 17 / 1700 / 2100  - A1454	Yes	iMessage, Email, Push Email, IM	Contrast ratio: 812:1 (nominal)	HTML (Safari)	N/A	312 g (11.01 oz)	DC-HSDPA, 42 Mbps; HSDPA, 21 Mbps; HSUPA, 5.76 Mbps, LTE, 100 Mbps; EV-DO Rev. A, up to 3.1 Mbps	http://cdn2.gsmarena.com/vv/thumb/apple-ipad-mini-final.jpg	5 MP, 2592x1944 pixels, autofocus	HSDPA 850 / 900 / 1900 / 2100  - A1454; A1455	Yes, v4.0 with A2DP, EDR	Black/Slate, White/Silver	16/32/64 GB storage, 512 MB RAM	No	No	iOS 6, upgradable to iOS 6.1.3	iPad mini Wi-Fi + Cellular	768 x 1024 pixels, 7.9 inches (~162 ppi pixel density)	high_end
Yes	No	Wi-Fi 802.11 a/b/g/n, dual-band	241.2 x 185.7 x 9.4 mm (9.50 x 7.31 x 0.37 in)	380	 N/A	No	Yes	Photo	No	720	PowerVR SGX554MP4 (quad-core graphics)	No	LED-backlit IPS LCD, capacitive touchscreen, 16M colors	Dual-core 1.4 GHz	No	Yes, v2.0	Available. Released 2012, November	Apple	Apple A6X	Scratch-resistant glass, oleophobic coating	2012, October	Yes	Accelerometer, gyro, compass	No	Yes, 1.2 MP, 720p@30fps, face detection, FaceTime over Wi-Fi	No	No	10	No	Yes	iMessage, Email, Push Email, IM	No	HTML (Safari)	N/A	652 g (1.44 lb)	No	http://cdn2.gsmarena.com/vv/thumb/apple-ipad-3-new.jpg	5 MP	No	Yes, v4.0 with A2DP	Black, White	16/32/64/128 GB storage, 1 GB RAM	No	No	iOS 6, upgradable to iOS 6.1.3	iPad 4 Wi-Fi	1536 x 2048 pixels, 9.7 inches (~264 ppi pixel density)	high_end
Voice 67dB / Noise 66dB / Ring 75dB	Yes	Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi hotspot	241.2 x 185.7 x 9.4 mm (9.50 x 7.31 x 0.37 in)	480	GSM 850 / 900 / 1800 / 1900 - A1459/ A1460	No	Yes	No	Noise -85.7dB / Crosstalk -85.2dB	720	PowerVR SGX554MP4 (quad-core graphics)	No	LED-backlit IPS LCD, capacitive touchscreen, 16M colors	Dual-core 1.4 GHz	Micro-SIM	Yes, v2.0	Available. Released 2012, November	Apple	Apple A6X	Scratch-resistant glass, oleophobic coating	2012, October	Yes, 1080p@30fps, video stabilization	Accelerometer, gyro, compass	Yes, with A-GPS support and GLONASS	Yes, 1.2 MP, 720p@30fps, face detection, FaceTime over Wi-Fi or Cellular	No	Yes	9	LTE 700 MHz Class 17 / 1700 / 2100 - A1459	Yes	iMessage, Email, Push Email, IM	Contrast ratio: 762:1 (nominal)	HTML (Safari)	N/A	662 g (1.46 lb)	DC-HSDPA, 42 Mbps; HSDPA, 21 Mbps; HSUPA, 5.76 Mbps, LTE, 73 Mbps; EV-DO Rev. A, up to 3.1 Mbps	http://cdn2.gsmarena.com/vv/thumb/apple-ipad-3-new.jpg	5 MP, 2592 x 1944 pixels, autofocus	HSDPA 850 / 900 / 1900 / 2100 - A1459/ A1460	Yes, v4.0 with A2DP	Black, White	16/32/64/128 GB storage, 1 GB RAM	No	No	iOS 6, upgradable to iOS 6.1.3	iPad 4 Wi-Fi + Cellular	1536 x 2048 pixels, 9.7 inches (~264 ppi pixel density)	high_end
Voice 66dB / Noise 66dB / Ring 67dB	Yes	Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi hotspot	123.8 x 58.6 x 7.6 mm (4.87 x 2.31 x 0.30 in)	500	GSM 850 / 900 / 1800 / 1900 - GSM A1428	Endurance rating 51h	Yes	Photo	Noise -91.3dB / Crosstalk -76.5dB	225	PowerVR SGX 543MP3 (triple-core graphics)	No	LED-backlit IPS LCD, capacitive touchscreen, 16M colors	Dual-core 1.2 GHz	Nano-SIM	Yes, v2.0	Available. Released 2012, September 	Apple	Apple A6	Corning Gorilla Glass, oleophobic coating	2012, September	Yes	Accelerometer, gyro, proximity, compass	Yes, with A-GPS support and GLONASS	Yes, 1.2 MP, 720p@30fps, face detection, FaceTime over Wi-Fi or Cellular	No	Yes	8	LTE 700 MHz Class 17 / 1700 / 2100 - GSM A1428 or LTE 850 / 1800 / 2100 - GSM A1429	Yes	iMessage, SMS (threaded view), MMS, Email, Push Email	Contrast ratio: 1320:1 (nominal) / 3.997:1 (sunlight)	HTML (Safari)	Vibration, proprietary ringtones	112 g (3.95 oz)	DC-HSDPA, 42 Mbps; HSDPA, 21 Mbps; HSUPA, 5.76 Mbps, LTE, 100 Mbps; EV-DO Rev. A, up to 3.1 Mbps	http://cdn2.gsmarena.com/vv/thumb/apple-iphone-5-ofic.jpg	8 MP	HSDPA 850 / 900 / 1900 / 2100 - GSM A1428	Yes, v4.0 with A2DP	Black/Slate, White/Silver	16/32/64 GB storage, 1 GB RAM	No	Up to 40 h	iOS 6, upgradable to iOS 6.1.3	iPhone 5	640 x 1136 pixels, 4.0 inches (~326 ppi pixel density)	high_end
Yes	Yes	Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi hotspot	241.2 x 185.7 x 9.4 mm (9.50 x 7.31 x 0.37 in)	480	GSM 850 / 900 / 1800 / 1900 	No	Yes	Photo	No	720	PowerVR SGX543MP4 (quad-core graphics)	No	LED-backlit IPS LCD, capacitive touchscreen, 16M colors	Dual-core 1 GHz Cortex-A9	Micro-SIM	Yes, v2.0	Available. Released 2012, March 16th	Apple	Apple A5X	Scratch-resistant glass, oleophobic coating	2012, March	Yes	Accelerometer, gyro, compass	Yes, with A-GPS support	Yes, VGA, 480p@30fps, videocalling over Wi-Fi only	No	Yes	9	LTE 700 MHz Class 17 / 2100 - for AT&T	Yes	iMessage, Email, Push Email, IM	No	HTML (Safari)	N/A	662 g (1.46 lb)	DC-HSDPA, 42 Mbps; HSDPA, 21 Mbps; HSUPA, 5.76 Mbps, LTE, 73 Mbps; EV-DO Rev. A, up to 3.1 Mbps	http://cdn2.gsmarena.com/vv/thumb/apple-ipad-3-new.jpg	5 MP	HSDPA 850 / 900 / 1900 / 2100 	Yes, v4.0 with A2DP	Black, White	16/32/64 GB storage, 1 GB RAM	No	No	iOS 5.1, upgradable to iOS 6.1.3	iPad 3 Wi-Fi + Cellular	1536 x 2048 pixels, 9.7 inches (~264 ppi pixel density)	high_end
Voice 66dB / Noise 66dB / Ring 77dB	No	Wi-Fi 802.11 a/b/g/n, dual-band	241.2 x 185.7 x 9.4 mm (9.50 x 7.31 x 0.37 in)	380	 N/A	No	Yes	No	Noise -90.9dB / Crosstalk -92.7dB	720	PowerVR SGX543MP4 (quad-core graphics)	No	LED-backlit IPS LCD, capacitive touchscreen, 16M colors	Dual-core 1 GHz Cortex-A9	No	Yes, v2.0	Available. Released 2012, March 16th	Apple	Apple A5X	Scratch-resistant glass, oleophobic coating	2012, March	Yes, 1080p@30fps, video stabilization	Accelerometer, gyro, compass	No	Yes, VGA, 480p@30fps, videocalling over Wi-Fi only	No	No	10	No	Yes	iMessage, Email, Push Email, IM	Contrast ratio: 779:1 (nominal)	HTML (Safari)	N/A	652 g (1.44 lb)	No	http://cdn2.gsmarena.com/vv/thumb/apple-ipad-3-new.jpg	5 MP, 2592 x 1944 pixels, autofocus	No	Yes, v4.0 with A2DP	Black, White	16/32/64 GB storage, 1 GB RAM	No	No	iOS 5.1, upgradable to iOS 6.1.3	iPad 3 Wi-Fi	1536 x 2048 pixels, 9.7 inches (~264 ppi pixel density)	high_end
Voice 65dB / Noise 64dB / Ring 74dB	Yes	Wi-Fi 802.11 b/g/n, Wi-Fi hotspot	115.2 x 58.6 x 9.3 mm (4.54 x 2.31 x 0.37 in)	380	GSM 850 / 900 / 1800 / 1900 	Endurance rating 45h	Yes	Photo	Noise -91.2dB / Crosstalk -93.0dB	200	PowerVR SGX543MP2	No	LED-backlit IPS LCD, capacitive touchscreen, 16M colors	Dual-core 1 GHz Cortex-A9	Micro-SIM	Yes, v2.0	Available. Released 2011, October	Apple	Apple A5	Corning Gorilla Glass, oleophobic coating	2011, October	Yes	Accelerometer, gyro, proximity, compass	Yes, with A-GPS support and GLONASS	Yes, VGA, 480p@30fps, videocalling over Wi-Fi and 3G	No	Yes	14	No	Yes	iMessage, SMS (threaded view), MMS, Email, Push Email	Contrast ratio: 1261:1 (nominal) / 2.269:1 (sunlight)	HTML (Safari)	Vibration, proprietary ringtones	140 g (4.94 oz)	HSDPA, 14.4 Mbps; HSUPA, 5.8 Mbps	http://cdn2.gsmarena.com/vv/thumb/apple-iphone-4s-new.jpg	8 MP	HSDPA 850 / 900 / 1900 / 2100 	Yes, v4.0 with A2DP	Black, White	16/32/64 GB storage, 512 MB RAM	No	Up to 40 h	iOS 5, upgradable to iOS 6.1.3	iPhone 4S	640 x 960 pixels, 3.5 inches (~330 ppi pixel density)	high_end
Voice 65dB / Noise 65dB / Ring 75dB	Yes	Wi-Fi 802.11 a/b/g/n, dual-band	241.2 x 185.7 x 8.8 mm (9.50 x 7.31 x 0.35 in)	400	GSM 850 / 900 / 1800 / 1900 	No	Yes	Video	Noise -91.0dB / Crosstalk -93.0dB	720	PowerVR SGX543MP2	No	LED-backlit IPS LCD, capacitive touchscreen, 16M colors	Dual-core 1 GHz Cortex-A9	Micro-SIM	Yes, v2.0	Available. Released 2011, March	Apple	Apple A5	Scratch-resistant glass, oleophobic coating	2011, March	Yes	Accelerometer, gyro, compass	Yes, with A-GPS support	Yes, VGA	No	Yes	9	No	Yes	iMessage, Email, Push Email, IM	Contrast ratio: 775:1 (nominal)	HTML (Safari)	N/A	607 g (1.34 lb)	HSDPA, 14.4 Mbps; HSUPA, 2 Mbps	http://cdn2.gsmarena.com/vv/thumb/apple-ipad2-new.jpg	0.7 MP, 960 x 720 pixels	HSDPA 850 / 900 / 1900 / 2100 	Yes, v2.1 with A2DP, EDR	Black, White	16/32/64 GB storage, 512 MB RAM	No	No	iOS 4, upgradable to iOS 6.1.3	iPad 2 Wi-Fi + 3G	768 x 1024 pixels, 9.7 inches (~132 ppi pixel density)	high_end
Yes	No	Wi-Fi 802.11 a/b/g/n, dual-band	241.2 x 185.7 x 8.8 mm (9.50 x 7.31 x 0.35 in)	330	 N/A	No	Yes	No	No	720	PowerVR SGX543MP2	No	LED-backlit IPS LCD, capacitive touchscreen, 16M colors	Dual-core 1 GHz Cortex-A9	No	Yes, v2.0	Discontinued	Apple	Apple A5	Scratch-resistant glass, oleophobic coating	2011, March. Released 2011, March	Yes, 720p@30fps	Accelerometer, gyro, compass	No	Yes, VGA	No	No	10	No	Yes	iMessage, Email, Push Email, IM	No	HTML (Safari)	N/A	601 g (1.32 lb)	No	http://cdn2.gsmarena.com/vv/thumb/apple-ipad2-new.jpg	0.7 MP, 960 x 720 pixels	No	Yes, v2.1 with A2DP, EDR	Black, White	16/32/64 GB storage, 512 MB RAM	No	No	iOS 4, upgradable to iOS 6.1.3	iPad 2 Wi-Fi	768 x 1024 pixels, 9.7 inches (~132 ppi pixel density)	high_end
